Time,Issue,Health,Report,SOP,Cur,Vib
11:40:23,Normal Operation,100,Telemetry signature is optimal. Current matches RainMaker 2 baseline (~8.0A).,Maintain standard monthly visual inspection.,8.07,1.22
11:39:23,Normal Operation,100,Telemetry signature is optimal. Current matches RainMaker 2 baseline (~8.0A).,Maintain standard monthly visual inspection.,7.85,1.29
11:38:23,Severe Cavitation,30,Extreme vibrations (9.684434276383715mm/s) exceeding ISO 10816 limits. Net Positive Suction Head (NPSH) critically low.,Reduce MPPT controller frequency to stabilize fluid velocity and check pump submergence depth.,8.2,9.68
11:37:23,Severe Cavitation,30,Extreme vibrations (9.925663241044662mm/s) exceeding ISO 10816 limits. Net Positive Suction Head (NPSH) critically low.,Reduce MPPT controller frequency to stabilize fluid velocity and check pump submergence depth.,8.19,9.93
11:36:23,Normal Operation,100,Telemetry signature is optimal. Current matches RainMaker 2 baseline (~8.0A).,Maintain standard monthly visual inspection.,7.97,1.44
11:35:23,Normal Operation,100,Telemetry signature is optimal. Current matches RainMaker 2 baseline (~8.0A).,Maintain standard monthly visual inspection.,7.9,1.19
11:34:24,Sand Clogging,10,Mechanical overload detected (11.777998865892206A > 8A nominal baseline). High impeller friction due to sand drag.,Extract pump from borehole. Clean intake strainers and inspect impellers for abrasive wear.,11.78,3.46
11:33:24,Sand Clogging,10,Mechanical overload detected (11.71579360219285A > 8A nominal baseline). High impeller friction due to sand drag.,Extract pump from borehole. Clean intake strainers and inspect impellers for abrasive wear.,11.72,3.49
11:32:23,Normal Operation,100,Telemetry signature is optimal. Current matches RainMaker 2 baseline (~8.0A).,Maintain standard monthly visual inspection.,8.09,1.33
11:32:01,Normal Operation,100,Telemetry signature is optimal. Current matches RainMaker 2 baseline (~8.0A).,Maintain standard monthly visual inspection.,7.97,1.58
11:32:00,Normal Operation,100,Telemetry signature is optimal. Current matches RainMaker 2 baseline (~8.0A).,Maintain standard monthly visual inspection.,7.97,1.39
11:31:57,Normal Operation,100,Telemetry signature is optimal. Current matches RainMaker 2 baseline (~8.0A).,Maintain standard monthly visual inspection.,7.98,1.42
11:31:55,Normal Operation,100,Telemetry signature is optimal. Current matches RainMaker 2 baseline (~8.0A).,Maintain standard monthly visual inspection.,7.84,1.27
11:31:53,Normal Operation,100,Telemetry signature is optimal. Current matches RainMaker 2 baseline (~8.0A).,Maintain standard monthly visual inspection.,7.93,1.45
11:31:51,Severe Cavitation,30,Extreme vibrations (9.698269268082727mm/s) exceeding ISO 10816 limits. Net Positive Suction Head (NPSH) critically low.,Reduce MPPT controller frequency to stabilize fluid velocity and check pump submergence depth.,8.06,9.7
11:31:49,Severe Cavitation,30,Extreme vibrations (9.638583813320274mm/s) exceeding ISO 10816 limits. Net Positive Suction Head (NPSH) critically low.,Reduce MPPT controller frequency to stabilize fluid velocity and check pump submergence depth.,8.12,9.64
